candidate_id,rank,score,reasoning
CAND_0061257,1,0.227566,AI/ML Engineer with 7.4 yrs; Systems: GitHub pipeline score 45.3 + Active marketplace intent; Platform response rate 0.87.
CAND_0056997,2,0.178614,AI/ML Engineer with 7.4 yrs; Systems: Active marketplace intent; Platform response rate 0.58.
CAND_0070525,3,0.176826,AI/ML Engineer with 7.4 yrs; Systems: GitHub pipeline score 18.4 + Active marketplace intent; Platform response rate 0.93.
CAND_0043591,4,0.171488,AI/ML Engineer with 7.4 yrs; Systems: GitHub pipeline score 42.8 + Active marketplace intent; Platform response rate 0.29.
CAND_0092070,5,0.171344,AI/ML Engineer with 7.4 yrs; Systems: GitHub pipeline score 38.0 + Active marketplace intent; Platform response rate 0.69.
CAND_0088703,6,0.16897,AI/ML Engineer with 7.4 yrs; Systems: Active marketplace intent; Platform response rate 0.44.
CAND_0064904,7,0.166616,AI/ML Engineer with 7.4 yrs; Systems: GitHub pipeline score 59.0 + Active marketplace intent; Platform response rate 0.78.
CAND_0081846,8,0.166071,AI/ML Engineer with 7.4 yrs; Systems: GitHub pipeline score 33.7 + Active marketplace intent; Platform response rate 0.73.
CAND_0048381,9,0.165724,AI/ML Engineer with 7.4 yrs; Systems: Active marketplace intent; Platform response rate 0.78.
CAND_0004761,10,0.159187,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 45.7 + Active marketplace intent; Platform response rate 0.49.
CAND_0059678,11,0.157891,AI/ML Engineer with 5.8 yrs; Systems: Active marketplace intent; Platform response rate 0.43.
CAND_0068102,12,0.157289,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 49.9 + Active marketplace intent; Platform response rate 0.20.
CAND_0018887,13,0.156801,AI/ML Engineer with 5.8 yrs; Systems: Active marketplace intent; Platform response rate 0.28.
CAND_0066945,14,0.156293,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 46.8 + Active marketplace intent; Platform response rate 0.77.
CAND_0089225,15,0.155558,AI/ML Engineer with 5.8 yrs; Systems: Active marketplace intent; Platform response rate 0.60.
CAND_0093912,16,0.155552,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 81.5 + Active marketplace intent; Platform response rate 0.66.
CAND_0003688,17,0.154392,AI/ML Engineer with 5.8 yrs; Systems: Active marketplace intent; Platform response rate 0.47.
CAND_0015793,18,0.151746,AI/ML Engineer with 5.8 yrs; Systems: Active marketplace intent; Platform response rate 0.76.
CAND_0040332,19,0.151091,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 73.9 + Active marketplace intent; Platform response rate 0.50.
CAND_0039329,20,0.150974,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 23.2 + Active marketplace intent; Platform response rate 0.57.
CAND_0071241,21,0.150427,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 37.9 + Active marketplace intent; Platform response rate 0.51.
CAND_0052998,22,0.149928,AI/ML Engineer with 5.8 yrs; Systems: Active marketplace intent; Platform response rate 0.78.
CAND_0094370,23,0.149491,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 28.6 + Active marketplace intent; Platform response rate 0.60.
CAND_0066652,24,0.149053,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 45.2 + Active marketplace intent; Platform response rate 0.61.
CAND_0041895,25,0.148445,AI/ML Engineer with 5.8 yrs; Systems: Active marketplace intent; Platform response rate 0.48.
CAND_0082618,26,0.148378,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 32.4 + Active marketplace intent; Platform response rate 0.38.
CAND_0060832,27,0.146962,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 23.7 + Active marketplace intent; Platform response rate 0.56.
CAND_0080766,28,0.146121,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 32.9; Platform response rate 0.66.
CAND_0062630,29,0.145675,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 23.2 + Active marketplace intent; Platform response rate 0.72.
CAND_0077504,30,0.145228,AI/ML Engineer with 5.8 yrs; Systems: Active marketplace intent; Platform response rate 0.65.
CAND_0001147,31,0.144857,AI/ML Engineer with 5.8 yrs; Systems: Active marketplace intent; Platform response rate 0.68.
CAND_0013523,32,0.144325,AI/ML Engineer with 5.8 yrs; Systems: Active marketplace intent; Platform response rate 0.68.
CAND_0020311,33,0.143864,AI/ML Engineer with 5.8 yrs; Systems: Active marketplace intent; Platform response rate 0.49.
CAND_0067226,34,0.143726,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 49.0 + Active marketplace intent; Platform response rate 0.37.
